Parite,Date,Haftalık Bias,P-RR,RR,Session,Tradingview,W/L,Yön
EURUSD,16/10/2025,Bull,,-1,New York," https://fxr-snapshots-asia.s3.amazonaws.com/1770306322616_4fb2e1dee6fe675aea313d99b023c17a.png",No,Short
EURUSD,24/10/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770306556553_4380346f30b1a338a1d38ddc9bcfbcbc.png,No,Short
EURUSD,28/10/2025,Bull,3.5,3.11,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770306662917_9ebfc02387d076b4acd04cd1d3049db6.png,Yes,Short
EURUSD,29/10/2025,Bull,3,2.69,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770306811367_176affeaed5db7a2ca083c65dd401885.png,Yes,Long
EURUSD,03/11/2025,Bull,,-1,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770306916065_604e7c0081b035198d11a8ab756b899b.png,No,Long
EURUSD,04/11/2025,Bull,2.11,2.11,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770306990392_e0508b2c120e2074838a2d46961fab84.png,Yes,Long
EURUSD,17/11/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770307373082_0f23e3982aaedff07499252a2fb481fa.png,No,Long
EURUSD,21/11/2025,Bull,,-1,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770307526587_c2cca35a461750ab754f5fe83fe57185.png,No,Long
EURUSD,26/11/2025,Bull,2.5,2.22,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770307701616_e20e3f38ec4eb819acac8628b2391c36.png,Yes,Short
EURUSD,01/12/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770307873856_a8379b0fb5b0640756a67c6cdcbc9707.png,No,Short
EURUSD,04/12/2025,Bull,3,3,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770308002684_cca8a25b721b6576721a47a2879e400c.png,Yes,Short
EURUSD,11/12/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770308686055_11d9cdfae2ab32c7b24d53d2ae22c4f1.png,No,Short
EURUSD,15/12/2025,Bull,,-1,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770308763106_5123ccb02a27f2246d30b21cbafe6e65.png,No,Short
EURUSD,19/12/2025,Bull,2.5,2.42,Other,https://fxr-snapshots-asia.s3.amazonaws.com/1770308959474_037f91187430a09c761107723d4030b4.png,Yes,Long
EURUSD,24/12/2025,Bull,4,2,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770309109476_5dfe69252772af1ab645572346bc5a6f.png,Yes,Short
EURUSD,26/12/2025,Bull,3,2.16,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770309213918_7982c5a371e60fb2922c640c41f38aab.png,Yes,Long
EURUSD,29/12/2025,Bull,3,2.5,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770309331501_021e9ab3c9863938b38c92dfa8704bbd.png,Yes,Long
EURUSD,30/12/2025,Bull,,-1,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770309407410_18ca628455bd3a96143b0da219c19e11.png,No,Long
EURUSD,02/01/2026,Bull,4,3,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770309503313_a991abfeebf6f1c00e4d1ab9456dd861.png,Yes,Short
EURUSD,06/01/2026,Bull,2.5,2.15,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770309628565_ab609a77319b691cbc4799f4db2e7b56.png,Yes,Short
EURUSD,15/01/2026,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770309862305_4605b3a4751b21351b6cc7d6802d7633.png,No,Long
EURUSD,19/01/2026,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770309972406_23052e32cf604c26a29934d82627a1a9.png,No,Short
EURUSD,22/01/2026,Bull,2,2,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770310124113_8b77d80df498787927331ec7a1f463e4.png,Yes,Long
EURUSD,30/01/2026,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770310404623_244ee413e0ed2904cf0849e70c402602.png,No,Long
EURUSD,04/02/2026,Bull,2,2,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770310588405_027858f077dccb755b57a96ff209f8c8.png,Yes,Short
EURUSD,05/02/2026,,,-1,London,https://www.tradingview.com/x/Brz41nFj/,No,Long
EURUSD,,,,,,,No,
EURUSD,06/02/2026,,,-1,New York,https://www.tradingview.com/x/9XCeVB6K/,No,Long
EURUSD,06/02/2026,,3.28,3.28,London,https://www.tradingview.com/x/hXJzLKCm/,Yes,Long
EURUSD,10/02/2026,,,2.35,New York,https://www.tradingview.com/x/0nu7xAJq/,Yes,Short
EURUSD,11/02/2026,,,2.12,Asia,https://www.tradingview.com/x/UcQGq3xn/,Yes,Long
EURUSD,13/02/2026,,,2.13,London,https://www.tradingview.com/x/SFZ71mHk/,Yes,Long
EURUSD,17/02/2026,,,-1,London,https://www.tradingview.com/x/vuo5J37e/,No,Long
EURUSD,18/02/2026,,,2.02,London,https://www.tradingview.com/x/sMHHqasW/,Yes,Short
EURUSD,19/02/2026,,,3.28,Asia,https://www.tradingview.com/x/aI2He3fU/,Yes,Long
EURUSD,24/02/2026,,,-1,London,https://www.tradingview.com/x/yGvfqGsf/,No,Long
EURUSD,26/02/2026,,,2.35,London,https://www.tradingview.com/x/5OkyQ0oc/,Yes,Short
EURUSD,06/03/2026,,,-1,New York,https://www.tradingview.com/x/FwtPNXoB/,No,Long
EURUSD,10/03/2026,,,-1,New York,https://www.tradingview.com/x/Ti2fTVKz/,No,Short
EURUSD,11/03/2026,,,2,New York,https://www.tradingview.com/x/uhHBThlM/,Yes,Short
EURUSD,12/03/2026,,,-1,London,https://www.tradingview.com/x/czLfnnSJ/,No,Long
EURUSD,18/03/2026,,,2.89,London,https://www.tradingview.com/x/Ejf22GNS/,Yes,Short
EURUSD,18/03/2026,,,2.16,New York,https://www.tradingview.com/x/fVEtmWkF/,Yes,Short
EURUSD,19/03/2026,,,2.21,New York,https://www.tradingview.com/x/9lBBpb7j/,Yes,Long
EURUSD,25/03/2026,,3.85,2.62,London,https://www.tradingview.com/x/bjDNN8IC/,Yes,Short
EURUSD,29/03/2026,,,-1,New York,https://www.tradingview.com/x/ghF0f8Be/,No,Long
EURUSD,06/04/2026,,2.61,2.26,Asia,https://www.tradingview.com/x/26sS1trY/,Yes,Long
EURUSD,07/04/2026,,,-1,New York,https://www.tradingview.com/x/H0g1bSRG/,No,Short
EURUSD,10/04/2026,,,2,New York,https://www.tradingview.com/x/ZhRw0usQ/,Yes,Short
EURUSD,16/04/2026,,,3.07,New York,https://www.tradingview.com/x/8KsuUSef/,Yes,Short
EURUSD,21/04/2026,,,2.43,Asia,https://www.tradingview.com/x/NGQZ2d7g/,Yes,Short
EURUSD,27/04/2026,,,-1,London,https://www.tradingview.com/x/dDeZMhte/,No,Short
EURUSD,28/04/2026,,,2.12,New York,https://www.tradingview.com/x/zfPWr52Y/,Yes,Long
EURUSD,30/04/2026,,,2.19,London,https://www.tradingview.com/x/sXGQoZB4/,Yes,Long
EURUSD,01/05/2026,,,-1,London,https://www.tradingview.com/x/R1DIdfKK/,No,Short
EURUSD,05/05/2026,,,3.16,London,https://www.tradingview.com/x/afKQYyWi/,Yes,Long
